t,FullRes,Conv,LowFreq
0,0.001353778997310058,0.001353778997310058,0.013691772338472985
1,0.002454756918789898,0.002801329271889489,0.012914374314055878
2,0.0033398721667732474,0.0052189173624730655,0.01287960002777084
3,0.004425044228474034,0.008334454111962306,0.012804928055269268
4,0.005911295323399242,0.012080052887881509,0.01259498719958142
5,0.00778533712023675,0.016284289451451626,0.012328133877985481
6,0.010012390625911312,0.020717414222904528,0.012069992622762605
7,0.012565387846182614,0.025913724068938722,0.011767186656119108
8,0.015437792529815517,0.032426987577122215,0.011408476683013286
9,0.018551764916595482,0.03986983708726768,0.011190802166341149
10,0.02193317249310054,0.04846821965429944,0.011003637404269585
11,0.025548134946971404,0.058330868034778174,0.010782746002617997
12,0.029386001416907545,0.07034887701420242,0.010692511006151508
13,0.033412135083843844,0.08729939302541699,0.01031585563706294
14,0.037639881092383434,0.10763384742218758,0.009869488523640293
15,0.042024167158113954,0.129397136336925,0.009386623030681426
16,0.046580074154805445,0.15186917206591638,0.008943526350331112
17,0.05135412149430489,0.1766887999208775,0.00895508799698947
18,0.05629485328509965,0.2044881621459526,0.009028622609013498
19,0.06145662438792636,0.23379778298441123,0.009053112766171798
20,0.06675054931325163,0.26080869462062195,0.009001333952314592
21,0.07220837806225584,0.28260344353787703,0.008941947513764295
22,0.07786177317994943,0.296903673526839,0.008847204826228975
23,0.08361739650473482,0.3067523410298769,0.008973832686945496
24,0.0894232952920232,0.31370599347201594,0.009124348237203391
25,0.09519323059659623,0.31934137722277944,0.009133257187292578
26,0.10086784437824872,0.32590754324713445,0.008766722861563301
27,0.10641351296577266,0.3315316445961964,0.008478123224915875
28,0.11179931479803278,0.3383124481236987,0.008163939645977017
29,0.11687695620556522,0.3438180686340604,0.007789995582819809
30,0.12159174161736709,0.35027905748344906,0.007500390256266693
31,0.1258827052262093,0.35846598298781207,0.007346295790370885
32,0.1297789411323299,0.36415373671947837,0.007331617935479507
33,0.13331247248306505,0.3698103848482609,0.007314892510938779
34,0.1365202464288997,0.3750451149870917,0.007312065511593113
35,0.1393880725458498,0.37892863786854036,0.0072533037992232865
36,0.14210002153418758,0.3840209021383496,0.007207048619818926
37,0.14456532678754033,0.3866056456159125,0.007111833866689234
38,0.14675442412661416,0.38963255331807223,0.007057367564807678
39,0.14877460226672684,0.3933509144391272,0.006898981068853395
40,0.15079102124286167,0.39909409272033,0.0065828173188999806
41,0.1530612492965699,0.40399452419184684,0.006389441649630637
42,0.15558054019635903,0.40644322955613243,0.006261353511513422
43,0.15836951761330273,0.40980687436273483,0.0061552118886328755
44,0.1612404871576494,0.4135960935037645,0.0061535896701294425
45,0.16417843751740274,0.4174337552840819,0.006213979901784282
46,0.1669196889075685,0.4206286200120861,0.006109864213996837
47,0.1693857103517779,0.42376547678619236,0.005956847799311653
48,0.17155547612352764,0.42480961714478305,0.005932099238032408
49,0.17353840601669152,0.42567161552859334,0.005956347369157691
50,0.17529414685037742,0.4270626557222289,0.005935527043462084
51,0.1769108145840351,0.4282707209171156,0.005816820041892143
52,0.17845002919874633,0.4282952864346985,0.005654946255984119
53,0.17985676329152894,0.4277506928455947,0.005469780931553237
54,0.18111005336966096,0.4262166437703968,0.0053385122261053125
55,0.18224078424025297,0.4259949395075122,0.005237620212109739
56,0.18314982729776372,0.42641404998299476,0.005173991472000112
57,0.18383967743469654,0.4273012201999818,0.005115664130482904
58,0.18430336173306316,0.42702386802426906,0.005061920906558662
59,0.1846729878002584,0.42598509054186096,0.005092818986698281
60,0.18491389888253879,0.4262941064825886,0.005266016845656656
61,0.18507501221507192,0.4258370369099686,0.005439235312920329
62,0.18511024414345006,0.4245937036120535,0.005604554020420639
63,0.1849633159907202,0.4255310200306093,0.005767879611146352
64,0.18464767216539008,0.4259272530162225,0.005937053990021488
65,0.18396046518504888,0.4260648828927319,0.006046602612867146
66,0.18311077551216004,0.4259431524786083,0.006046008407008391
67,0.18219573969192204,0.4258732494935523,0.0060677594079787695
68,0.18129297384631782,0.4263702142735788,0.005964853580484937
69,0.18066598218751284,0.42802684207596364,0.005893533177345797
70,0.18031229152065414,0.4282947854441156,0.00588403226108517
71,0.17998814595590254,0.4281074514464994,0.005801244071159704
72,0.17971368282609812,0.42684475557816864,0.005575131878906542
73,0.17963790329005466,0.4231205284709147,0.005345528235298096
74,0.17969125760274546,0.4208343492416011,0.005233757587457996
75,0.17986625202270817,0.4207847486841455,0.005271203848369076
76,0.18006374542186354,0.42250945988087,0.005425675355784172
77,0.18039436051614882,0.4249339295024313,0.0056770301459142785
78,0.18080704691529345,0.4245090187318563,0.005916921189283096
79,0.1814323158383355,0.4237654367576883,0.00616689858276059
